1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-3.61999e-06,-3.61999e-06,1,0,-1,1.31043e-11,-3.61999e-06,0,0,-1,-3.61999e-06,0,0,0,0,1|-3.61999e-06,-3.61999e-06,1,0,3.61999e-06,-1,-3.61998e-06,0,1,3.61998e-06,3.62e-06,0,0,0,0,1|-3.61999e-06,-3.61999e-06,1,0,3.61999e-06,-1,-3.61998e-06,0,1,3.61998e-06,3.62e-06,0,0.25,9.04994e-07,9.05001e-07,1|-3.61999e-06,-3.61999e-06,1,0,1,7.23997e-06,3.62002e-06,0,-7.23998e-06,1,3.61996e-06,0,0.25,9.04994e-07,9.05001e-07,1|-3.61999e-06,-3.61999e-06,1,0,1,7.23997e-06,3.62002e-06,0,-7.23998e-06,1,3.61996e-06,0,0.249998,0.250001,1.80999e-06,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.525246,-3.08043e-06,0.850951,0,-0.85095,1.90138e-06,-0.525246,0,0,-1,-3.61999e-06,0,0,0,0,1|-0.525246,-3.08043e-06,0.85095,0,3.08043e-06,-1,-1.71861e-06,0,0.85095,1.71861e-06,0.525246,0,0,0,0,1|-0.525246,-3.08043e-06,0.85095,0,3.08043e-06,-1,-1.71861e-06,0,0.85095,1.71861e-06,0.525246,0,0.212738,4.29651e-07,0.131311,1|-0.525246,-3.08043e-06,0.85095,0,0.85095,5.3386e-06,0.525246,0,-6.16086e-06,1,-1.82779e-07,0,0.212738,4.29651e-07,0.131311,1|-0.525246,-3.08043e-06,0.85095,0,0.85095,5.3386e-06,0.525246,0,-6.16086e-06,1,-1.82779e-07,0,0.212736,0.25,0.131311,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,1.64522e-06,-1,-3.95463e-07,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,1.64522e-06,-1,-3.95463e-07,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|-0.890756,-1.64522e-06,0.454482,0,0.454482,4.01545e-06,0.890756,0,-3.29044e-06,1,-2.82906e-06,0,0.113621,9.88658e-08,0.222689,1|-0.890756,-1.64522e-06,0.454482,0,0.454482,4.01545e-06,0.890756,0,-3.29044e-06,1,-2.82906e-06,0,0.11362,0.25,0.222688,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|-0.808174,-0.420505,0.412347,0,0.374567,-0.90729,-0.191112,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|-0.808174,-0.420505,0.412347,0,0.374567,-0.90729,-0.191112,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|-0.808174,-0.420505,0.412347,0,0.454481,3.67984e-06,0.890756,0,-0.374569,0.90729,0.191108,0,0.113621,9.88658e-08,0.222689,1|-0.808174,-0.420505,0.412347,0,0.454481,3.67984e-06,0.890756,0,-0.374569,0.90729,0.191108,0,0.0199784,0.226823,0.270466,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|-0.575741,-0.76304,0.293756,0,0.679682,-0.646352,-0.346788,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|-0.575741,-0.76304,0.293756,0,0.679682,-0.646352,-0.346788,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|-0.575741,-0.76304,0.293756,0,0.45448,2.73525e-06,0.890757,0,-0.679684,0.646352,0.346785,0,0.113621,9.88658e-08,0.222689,1|-0.575741,-0.76304,0.293756,0,0.45448,2.73525e-06,0.890757,0,-0.679684,0.646352,0.346785,0,-0.0563004,0.161588,0.309385,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|-0.376821,-0.906113,0.192263,0,0.807125,-0.423036,-0.411812,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|-0.376821,-0.906113,0.192263,0,0.807125,-0.423036,-0.411812,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|-0.376821,-0.906113,0.192263,0,0.454479,1.92685e-06,0.890757,0,-0.807127,0.423036,0.411809,0,0.113621,9.88658e-08,0.222689,1|-0.376821,-0.906113,0.192263,0,0.454479,1.92685e-06,0.890757,0,-0.807127,0.423036,0.411809,0,-0.0881612,0.105759,0.325641,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|0.405953,-0.890113,-0.207125,0,0.792873,0.455739,-0.404541,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|0.405953,-0.890113,-0.207125,0,0.792873,0.455739,-0.404541,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|0.405953,-0.890113,-0.207125,0,0.454479,-1.25431e-06,0.890757,0,-0.792875,-0.455739,0.404538,0,0.113621,9.88658e-08,0.222689,1|0.405953,-0.890113,-0.207125,0,0.454479,-1.25431e-06,0.890757,0,-0.792875,-0.455739,0.404538,0,-0.0845982,-0.113935,0.323823,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|0.821272,-0.387203,-0.41903,0,0.344904,0.921994,-0.175977,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|0.821272,-0.387203,-0.41903,0,0.344904,0.921994,-0.175977,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|0.821272,-0.387203,-0.41903,0,0.454481,-2.94215e-06,0.890756,0,-0.344905,-0.921994,0.175974,0,0.113621,9.88658e-08,0.222689,1|0.821272,-0.387203,-0.41903,0,0.454481,-2.94215e-06,0.890756,0,-0.344905,-0.921994,0.175974,0,0.0273943,-0.230498,0.266683,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|0.872213,0.202981,-0.445021,0,-0.180806,0.979183,0.0922507,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|0.872213,0.202981,-0.445021,0,-0.180806,0.979183,0.0922507,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|0.872212,0.20298,-0.445021,0,0.454483,-3.14917e-06,0.890755,0,0.180805,-0.979183,-0.0922539,0,0.113621,9.88658e-08,0.222689,1|0.872212,0.20298,-0.445021,0,0.454483,-3.14917e-06,0.890755,0,0.180805,-0.979183,-0.0922539,0,0.158822,-0.244796,0.199625,1||
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-0.890756,-1.64522e-06,0.454482,0,-0.454482,3.22453e-06,-0.890756,0,0,-1,-3.61999e-06,0,0,0,0,1|0.872213,0.202981,-0.445021,0,-0.180806,0.979183,0.0922507,0,0.454482,3.95463e-07,0.890756,0,0,0,0,1|0.68449,0.639925,-0.349241,0,-0.570017,0.768437,0.290834,0,0.454482,3.95463e-07,0.890756,0,0.113621,9.88658e-08,0.222689,1|0.68449,0.639925,-0.349241,0,0.454484,-2.38627e-06,0.890755,0,0.570015,-0.768437,-0.290838,0,0.113621,9.88658e-08,0.222689,1|0.68449,0.639925,-0.349241,0,0.454484,-2.38627e-06,0.890755,0,0.570015,-0.768437,-0.290838,0,0.256124,-0.192109,0.14998,1||
